date,time,lat,lon,depth,mag
1997/09/20, 16:11:32.15,-28.683,-177.624,30,7
1997/10/14, 09:53:18.15,-22.101,-176.772,167.3,7.8
1997/10/15, 01:03:33.46,-30.933,-71.22,58,7.1
1997/10/28, 06:15:17.33,-4.368,-76.681,112,7.2
1997/11/08, 10:02:52.61,35.069,87.325,33,7.5
1997/11/15, 18:59:24.30,-15.145,167.375,123.1,7
1997/11/25, 12:14:33.63,1.241,122.536,24,7
1997/12/05, 11:26:54.69,54.841,162.035,33,7.8
1997/12/22, 02:05:50.08,-5.495,147.867,179.3,7.2
1998/01/04, 06:11:58.97,-22.301,170.911,100.6,7.5
1998/01/30, 12:16:08.69,-23.913,-70.207,42,7.1
1998/03/25, 03:12:25.07,-62.877,149.527,10,8.1
1998/03/29, 19:48:16.21,-17.552,-179.092,537.2,7.2
1998/04/01, 17:56:23.36,-0.544,99.261,55.7,7
1998/05/03, 23:30:21.91,22.306,125.308,33,7.5
1998/07/16, 11:56:36.42,-11.04,166.16,110.2,7
1998/07/17, 08:49:13.28,-2.961,141.926,10,7
1998/08/04, 18:59:20.10,-0.593,-80.393,33,7.2
1998/08/20, 06:40:55.82,28.932,139.329,440.5,7.1
1998/11/09, 05:38:44.22,-6.92,128.946,33,7
1998/11/29, 14:10:31.96,-2.071,124.891,33,7.7
1999/01/19, 03:35:33.84,-4.596,153.235,114.1,7
1999/02/06, 21:47:59.47,-12.853,166.697,90.1,7.3
1999/03/04, 08:52:01.90,5.397,121.937,33,7.1
1999/03/08, 12:25:48.99,52.056,159.52,56.6,7
1999/03/31, 05:54:42.13,5.827,-82.616,10,7
1999/04/05, 11:08:04.00,-5.591,149.568,150,7.4
1999/04/08, 13:10:34.08,43.607,130.35,565.7,7.1
1999/05/10, 20:33:02.09,-5.159,150.88,138,7.1
1999/05/16, 00:51:20.46,-4.751,152.486,73.7,7.1
1999/06/15, 20:42:05.93,18.386,-97.436,70,7
1999/08/17, 00:01:39.13,40.748,29.864,17,7.7
1999/09/20, 17:47:18.49,23.772,120.982,33,7.7
1999/09/30, 16:31:15.69,16.059,-96.931,60.6,7.5
1999/10/16, 09:46:44.17,34.5952,-116.2698,0.15,7.1
1999/11/12, 16:57:19.55,40.758,31.161,10,7.2
1999/11/15, 05:42:43.22,-1.339,88.976,10,7
1999/11/17, 03:27:42.08,-5.978,148.82,47.5,7
1999/11/19, 13:56:46.45,-6.351,148.763,33,7
1999/11/26, 13:21:15.57,-16.423,168.214,33,7.5
1999/12/11, 18:03:36.45,15.766,119.74,33,7.3
2000/01/08, 16:47:20.58,-16.925,-174.248,183.4,7.2
2000/02/25, 01:43:58.64,-19.528,173.818,33,7.1
2000/03/28, 11:00:22.51,22.338,143.73,126.5,7.6
2000/04/23, 09:27:23.32,-28.307,-62.99,608.5,7
